306;магазин;147,2
307;пространство;147,2
308;выход;147
309;удар;146,8
310;база;146,7
311;знание;146,4
312;текст;146,2
313;защита;145,9
314;руководство;145,7
315;площадь;145,2
316;сознание;145,2
317;возраст;144,5
318;участник;144,2
319;участок;144,2
320;пункт;144
321;линия;143,7
322;желание;143,6
323;папа;143,4
324;доктор;143,1
325;губа;143
326;дочь;142,4
327;среда;142,4
328;председатель;142,3
329;представление;142,2
330;солдат;142,2
331;художник;142,2
332;волос;141,8
333;оружие;141,8
334;соответствие;141
335;ветер;140,3
336;парень;140,3
337;зрение;140,2
338;генерал;140
339;огонь;139,8
340;понятие;139,4
341;строительство;139,4
342;ухо;139,3
343;грудь;138,8
344;нос;138,8
345;страх;138,4
346;услуга;138,3
347;содержание;137,3
348;радость;137,2
349;безопасность;137,1
350;продукт;136,7
351;комплекс;136,3
352;бизнес;136,2
353;сад;135,8
354;сотрудник;135,1
355;лето;135
356;курс;134,5
357;предложение;134,5
358;рот;133,6
359;технология;133,5
360;реформа;133,1
361;отсутствие;132,4
362;собака;132,2
363;камень;131,9
364;будущее;131,4
365;рассказ;131,3
366;контроль;131,2
367;река;131
368;продукция;130,8
369;сумма;130,6
370;техника;130,5
371;здание;129,9
372;сфера;129,5
373;необходимость;129,1
374;фонд;128,6
375;подготовка;127,9
376;лист;127,6
377;республика;127,4
378;хозяйство;127,2
379;воля;126,4
380;бюджет;126
381;снег;125,2
382;деревня;125,1
383;мужик;124,7
384;элемент;124,4
385;обстоятельство;124,2
386;немец;124,1
387;победа;124
388;источник;123,7
389;звезда;122,7
390;выбор;122
391;масса;121,7
392;итог;121,5
393;сестра;121,3
394;практика;120,7
395;проведение;120,6
396;карман;120,5
397;слава;120,2
398;кухня;120,1
399;определение;120,1
400;функция;119,6
401;войско;119,4
402;комиссия;119,3
403;применение;119,3
404;капитан;119
405;работник;119
406;обеспечение;118,8
407;офицер;118,7
408;фамилия;118,1
409;предел;118
410;выборы;117,7
411;ученый;117,4
412;бутылка;117,1
413;бой;117
414;теория;116,5
415;зона;116,4
416;отдел;116,2
417;зуб;116
418;разработка;115,9
419;личность;115,6
420;гора;115,5
421;товар;115,5
422;метр;115,2
423;праздник;115
424;влияние;114,9
425;читатель;114,7
426;удовольствие;114,5
427;актер;114,4
428;слеза;114,2
429;ответственность;113,8
430;учитель;113,8
431;акт;113,6
432;боль;113,3
433;множество;113,3
434;особенность;113
435;показатель;112,9
436;корабль;112,5
437;звук;112,4
438;впечатление;112,3
439;частность;112
440;детство;111,9
441;вывод;111,8
442;профессор;111,8
443;доля;111,4
444;норма;111,3
445;прошлое;111,2
446;командир;110,9
447;коридор;110,8
448;поддержка;110,6
449;рамка;110,6
450;враг;110,3
451;этап;110,3
452;черт;110,2
453;дед;110,1
454;собрание;109,9
455;прием;109,8
456;болезнь;109,6
457;клетка;109,6
458;кожа;109,5
459;заявление;109,3
460;попытка;109,1
461;сравнение;109,1
462;расчет;108,9
463;депутат;108,7
464;комитет;108,1
465;знак;108
466;дядя;107,5
467;учет;107,4
468;хлеб;107,4
469;чай;106,8
470;режим;106,7
471;целое;106,6
472;вирус;106,5
473;выражение;106,4
474;здоровье;106
475;зима;106
476;десяток;105,7
477;глубина;105,6
478;сеть;105,5
479;студент;105,4
480;секунда;105,2
481;скорость;105,2
482;поиск;105
483;суть;104,9
484;налог;104,7
485;ошибка;104,4
486;доход;103,6
487;режиссер;103,5
488;поверхность;103,4
489;ощущение;103,3
490;карта;103
491;клуб;103
492;станция;103
493;революция;102,9
494;колено;102,8
495;министерство;102,8
496;стекло;102,8
497;этаж;102,7
498;высота;101,9
499;бабушка;101,8
500;трубка;101,7
501;газ;101
502;мастер;100,8
503;поведение;100,7
504;столица;100,2
505;механизм;100,1
506;передача;100,1
507;способность;99,9
508;подход;99,8
509;энергия;99,7
510;существование;99,6
511;исполнение;99,5
512;кино;99,4
513;сожаление;99,4
514;заместитель;99,3
515;ресурс;98,7
516;акция;98,5
517;рождение;98,5
518;администрация;98,3
519;стоимость;98,1
520;улыбка;98,1
521;артист;98
522;сосед;97,8
523;фраза;97,8
524;фигура;97,5
525;субъект;97,3
526;реакция;97,2
527;список;97,2
528;фотография;97,2
529;журналист;97
530;май;97
531;нарушение;96,8
532;заседание;96,7
533;толпа;96,7
534;больница;96,6
535;существо;96,6
536;свойство;96,4
537;долг;96,2
538;поколение;96,2
539;животное;95,9
540;схема;95,9
541;усилие;95,9
542;отличие;95,8
543;остров;95,7
544;противник;95,5
545;волна;95,4
546;реализация;95,1
547;страница;95,1
548;формирование;95
549;житель;94,9
550;красота;94,7
551;птица;94,5
552;растение;94,4
553;тень;94,3
554;явление;94,3
555;храм;94,2
556;запах;94,1
557;водка;93,9
558;наличие;93,9
559;ужас;93,8
560;одежда;93,7
561;кресло;93,6
562;больной;93,4
563;поезд;93,3
564;университет;93,3
565;традиция;93,1
566;адрес;92,7
567;декабрь;92,7
568;ладонь;92,7
569;сведение;92,5
570;цветок;92,4
571;лидер;92,2
572;октябрь;92,2
573;занятие;92,1
574;сентябрь;92,1
575;помещение;91,9
576;январь;91,9
577;зритель;91,7
578;редакция;91,5
579;стиль;91,4
580;весна;91,3
581;фактор;91,2
582;август;91
583;известие;91
584;зависимость;90,9
585;охрана;90,9
586;оборудование;90,5
587;концерт;90,2
588;отделение;90,2
589;расход;90,2
590;выставка;89,9
591;милиция;89,9
592;переход;89,3
593;эпоха;89
594;запад;88,9
595;произведение;88,9
596;родина;88,9
597;собственность;88,9
598;тайна;88,9
599;трава;88,7
600;лагерь;88,6
601;имущество;88,4
602;кровать;88,4
603;аппарат;88,2
604;середина;88,2
605;март;88,1
606;клиент;87,9
607;дама;87,7
608;фронт;87,7
609;отрасль;87,6
610;стул;87,6
611;беседа;87,5
612;законодательство;87,3
613;продажа;87,3
614;повышение;87,2
615;музей;87
616;след;86,9
617;полковник;86,8
618;сомнение;86,8
619;понимание;86,7
620;апрель;86,2
621;князь;86
622;рыба;86
623;дума;85,5
